,Image,Label
12,"[[ 7  6  6 ... 10 11 10]
 [ 6  6  5 ...  8  9  9]
 [ 5  6  6 ...  7  7  9]
 ...
 [ 7  6  8 ...  9 10  9]
 [ 7  5  6 ...  9 10  8]
 [ 3  2  3 ...  8  7  8]]",Normal
13,"[[139 145 160 ...  88  94 136]
 [116 128 135 ...  89  89  97]
 [122 116 125 ...  90  87  91]
 ...
 [  0   0   0 ...  35  15   0]
 [  0   0   0 ...  38  29   5]
 [  0   0   0 ...  45  30  14]]",Normal
14,"[[ 40  51  62 ... 134 157  85]
 [ 37  49  56 ... 145 131  87]
 [ 36  44  55 ... 161  92  86]
 ...
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]]",Normal
15,"[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]",Normal
16,"[[76 76 75 ... 49 43 33]
 [76 79 76 ... 45 41 31]
 [77 76 79 ... 45 39 32]
 ...
 [ 7  9  5 ...  0  0  0]
 [ 7  7  5 ...  0  0  0]
 [ 7  9  5 ...  0  0  0]]",Normal
17,"[[84 96 93 ... 15  5  0]
 [83 89 93 ... 13  0  0]
 [83 90 92 ...  9  0  0]
 ...
 [ 0  0  0 ...  0  0  0]
 [ 0  0  0 ...  0  0  0]
 [ 0  0  0 ...  0  0  0]]",Normal
18,"[[ 74  73  72 ...  60  98 186]
 [ 77  79  73 ...  58  96 181]
 [ 84  78  68 ...  57  94 182]
 ...
 [ 17  15  17 ...  42  70 102]
 [ 17  17  13 ...  41  67 100]
 [ 16  17  18 ...  36  62  92]]",Normal
19,"[[18 15 12 ...  0  0  0]
 [ 0  0  0 ...  0  0  0]
 [ 0  0  0 ...  0  0  0]
 ...
 [ 0  0  0 ...  0  0  0]
 [ 0  0  0 ...  0  0  0]
 [ 0  0  0 ...  0  0  0]]",Normal
20,"[[ 0  0  0 ...  3  0  0]
 [ 0  0  0 ... 22 12  7]
 [ 0  0  0 ... 41 35 28]
 ...
 [ 0  0  0 ...  0  0  0]
 [ 0  0  0 ...  0  0  0]
 [ 0  0  0 ...  0  0  0]]",Normal
21,"[[ 5  6  7 ... 12  0  0]
 [ 5  5  6 ... 11  0  0]
 [ 6  6  6 ... 10  0  0]
 ...
 [ 0  0  7 ... 10 11  8]
 [ 0  0  9 ... 10 11  7]
 [ 0  0  5 ... 11 13  8]]",Normal
22,"[[ 0  0  4 ... 40 33 22]
 [ 0  0  4 ... 40 34 22]
 [ 0  0  7 ... 41 34 22]
 ...
 [ 0  0  0 ...  0  0  0]
 [ 0  0  0 ...  0  0  0]
 [ 0  0  0 ...  0  0  0]]",Normal
23,"[[72 58 67 ... 63 68 68]
 [62 54 71 ... 67 65 68]
 [66 58 69 ... 77 66 76]
 ...
 [ 0  0  0 ...  0  0  0]
 [ 0  0  0 ...  0  0  0]
 [ 0  0  0 ...  0  0  0]]",Normal
24,"[[67 76 78 ... 57 50 45]
 [67 73 78 ... 51 47 40]
 [68 76 77 ... 52 43 39]
 ...
 [ 0  1  0 ...  0  0  0]
 [ 0  0  0 ...  0  0  0]
 [ 0  0  0 ...  0  0  0]]",Normal
25,"[[ 43  82  64 ... 176 165  70]
 [ 12  76  81 ... 140  98  46]
 [ 12  45  90 ...  95  45  35]
 ...
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]]",Normal
26,"[[67 68 69 ... 31 37 39]
 [62 68 63 ... 22 30 22]
 [65 63 60 ... 21 20  3]
 ...
 [ 0  0  0 ...  0  0  0]
 [ 0  0  0 ...  0  0  0]
 [ 0  0  0 ...  0  0  0]]",Normal
27,"[[ 82  84 114 ...  51  54  54]
 [ 77  87  89 ...  63  65  63]
 [ 73  81  84 ...  72  79  77]
 ...
 [  0   0   0 ...  85  24   0]
 [  0   0   0 ...  76  22   0]
 [  0   0   0 ...  65  22   0]]",Normal
28,"[[11  9 10 ... 12 12 11]
 [ 9 10 10 ... 13 11 11]
 [10 10 12 ... 13 12 11]
 ...
 [11 10 12 ... 12 11 12]
 [10  9 12 ... 11 12 11]
 [10 10 12 ... 10 12 12]]",Normal
29,"[[ 92  93  92 ...  48  42  33]
 [132  91  95 ...  45  35  28]
 [155 136  96 ...  45  36  27]
 ...
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]]",Normal
30,"[[107 113 119 ... 170 135 128]
 [ 99 112 115 ... 146 125 129]
 [ 96 104 110 ... 128 126 127]
 ...
 [ 43  45  49 ...  39  39  40]
 [ 45  44  47 ...  37  39  40]
 [ 43  47  49 ...  37  40  42]]",Normal
31,"[[ 86  88  95 ...  91  89  98]
 [ 81  86  87 ...  97  97 101]
 [ 77  89  84 ...  91  97  99]
 ...
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]]",Normal
32,"[[74 82 84 ... 36 57 75]
 [69 76 82 ... 32 49 66]
 [43 51 64 ... 23 44 60]
 ...
 [ 0  0  0 ...  0  0  0]
 [ 0  0  0 ...  0  0  0]
 [ 0  0  0 ...  0  0  0]]",Normal
33,"[[32 28 26 ... 15  6  2]
 [28 21 30 ...  6  4  0]
 [23 23 26 ... 10  1  0]
 ...
 [ 0  0  0 ...  0  0  0]
 [ 0  0  0 ...  0  0  0]
 [ 0  0  0 ...  0  0  0]]",Normal
34,"[[124 122 125 ...  43  32  25]
 [126 123 121 ...  37  29  22]
 [124 124 120 ...  37  28  21]
 ...
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]]",Normal
35,"[[ 61  67  74 ...  69  74  74]
 [ 55  63  73 ...  74  77  78]
 [ 51  60  70 ...  79  78 114]
 ...
 [  6   0   0 ...   0   0   0]
 [  4   0   0 ...   0   0   0]
 [  7   0   0 ...   0   0   0]]",Normal
36,"[[ 0  0 12 ... 28 11  0]
 [ 0  0  1 ... 26  0  0]
 [ 0  0  0 ... 27  0  0]
 ...
 [ 0  0  0 ...  0  0  0]
 [ 0  0  0 ...  0  0  1]
 [ 0  0  0 ...  0  0  2]]",Normal
37,"[[74 76 82 ... 75 71 63]
 [75 78 81 ... 73 71 62]
 [71 76 80 ... 77 74 66]
 ...
 [ 0  0  0 ...  0  0  0]
 [ 0  0  0 ...  0  0  0]
 [ 0  0  0 ...  0  0  0]]",Normal
38,"[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]",Normal
39,"[[ 0  0  0 ... 18 11  3]
 [ 0  0  0 ... 15  5  1]
 [ 0  0  0 ... 10  4  1]
 ...
 [ 0  0  0 ...  0  0  0]
 [ 0  0  0 ...  0  0  0]
 [ 0  0  0 ...  0  0  0]]",Normal
40,"[[  0   0  28 ...   0   0   0]
 [  0   0  29 ...   0   0   1]
 [  0   0  37 ... 130 129  98]
 ...
 [ 43  53  65 ...  25   0   0]
 [  0   1   0 ...  27   0   0]
 [  0   0   0 ...  24   0   0]]",Normal
41,"[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]",Normal
42,"[[51 63 72 ...  7 12 13]
 [45 55 68 ... 25 27 28]
 [38 50 61 ... 41 39 44]
 ...
 [ 0  0  0 ...  0  0  0]
 [ 0  0  0 ...  0  0  0]
 [ 0  0  0 ...  0  0  0]]",Normal
43,"[[101 103 107 ... 131 116  92]
 [ 97 100 104 ... 121 113  94]
 [ 98  98 101 ... 118 104  83]
 ...
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]]",Normal
44,"[[90 88 91 ...  0  0 20]
 [89 87 88 ...  0  0 19]
 [92 99 93 ...  0  0 20]
 ...
 [ 0  0  0 ...  0  0  0]
 [ 0  0  0 ...  0  0  0]
 [ 0  0  0 ...  0  0  0]]",Normal
45,"[[130 134 131 ... 151 155 142]
 [128 129 125 ... 145 140 141]
 [142 129 122 ... 139 130 125]
 ...
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]]",Normal
46,"[[ 64  62  65 ...  97  94 108]
 [ 69  72  71 ... 100 104 106]
 [ 81  79  81 ... 108 108 113]
 ...
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]]",Normal
47,"[[56 63 68 ... 86 85 84]
 [60 62 68 ... 85 80 81]
 [59 61 67 ... 84 81 76]
 ...
 [ 0  0  0 ...  0  0  0]
 [ 0  0  0 ...  0  0  0]
 [ 0  0  0 ...  0  0  0]]",Normal
48,"[[ 58  53  60 ...  39  32  29]
 [116  64  54 ...  36  34  25]
 [126 122  75 ...  35  28  19]
 ...
 [ 21  18  20 ...  90  90  92]
 [ 48  45  47 ... 145 145 149]
 [102  97 102 ... 252 254 255]]",Normal
49,"[[ 0  0 11 ... 65 56 55]
 [ 0  0 10 ... 62 57 52]
 [ 0  0 10 ... 68 59 56]
 ...
 [ 0  0  0 ...  0  0  0]
 [ 0  0  0 ...  0  0  0]
 [ 0  0  0 ...  0  0  0]]",Normal
50,"[[ 9 14 13 ... 73 81 71]
 [17 20 26 ... 76 78 69]
 [22 24 29 ... 69 69 65]
 ...
 [ 0  0  0 ...  0  0  0]
 [ 0  0  0 ...  0  0  0]
 [ 0  0  0 ...  0  0  0]]",Normal
51,"[[0 0 4 ... 0 0 0]
 [0 0 2 ... 0 0 0]
 [0 0 3 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]",Normal
52,"[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]",Normal
53,"[[ 0  0  0 ... 85 81 78]
 [ 0  0  0 ... 85 82 77]
 [ 0  0  0 ... 84 77 73]
 ...
 [ 0  0  0 ...  3  3  5]
 [ 0  0  0 ...  4  4  5]
 [ 0  0  0 ...  4  5  5]]",Normal
54,"[[45 61 73 ... 84 78 68]
 [44 63 78 ... 85 81 68]
 [46 65 78 ... 82 81 65]
 ...
 [ 3 43 70 ...  0  0  0]
 [ 8 47 72 ...  0  0  0]
 [ 9 47 76 ...  0  0  0]]",Normal
55,"[[ 31  45  56 ... 126  84  89]
 [ 32  43  53 ...  89  80  85]
 [ 30  39  52 ...  81  82  87]
 ...
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]]",Normal
56,"[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]",Normal
57,"[[ 0  0  0 ... 12  7  0]
 [ 0  0  0 ... 10  4  0]
 [ 0  0  0 ...  9  1  0]
 ...
 [ 0  0  0 ...  0  0  0]
 [ 0  0  0 ...  0  0  0]
 [ 0  0  0 ...  0  0  0]]",Normal
58,"[[ 15  17  21 ...  98 102  97]
 [ 28  30  30 ... 103 105  97]
 [ 33  38  38 ... 103 101  88]
 ...
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]]",Normal
59,"[[12 28 30 ... 72 73 72]
 [19 27 28 ... 72 69 70]
 [15 23 29 ... 73 69 69]
 ...
 [ 0  0  0 ... 12  0  0]
 [ 0  0  0 ...  8  0  0]
 [ 0  0  0 ... 16  0  0]]",Normal
60,"[[39 50 62 ... 43 38 29]
 [37 46 55 ... 40 35 26]
 [37 40 58 ... 44 37 24]
 ...
 [ 0  0  0 ...  0  0  0]
 [ 0  0  0 ...  0  0  0]
 [ 0  0  0 ...  0  0  0]]",Normal
61,"[[242 235 227 ... 164 161 163]
 [158 159 147 ... 126 125 123]
 [103 106  98 ...  90  92  91]
 ...
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]]",Normal
62,"[[27 45 51 ... 28  0  0]
 [29 43 55 ... 25  0  0]
 [26 43 52 ... 23  0  0]
 ...
 [ 0  0  0 ...  0  0  0]
 [ 0  0  0 ...  0  0  0]
 [ 0  0  0 ...  0  0  0]]",Normal
63,"[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]",Normal
64,"[[ 76  91 107 ... 107 173 255]
 [ 72  85  93 ... 115 180 255]
 [ 74  77  80 ... 128 184 255]
 ...
 [  0   0   0 ...  39  48  97]
 [  0   0   0 ...  40  50  97]
 [  0   0   0 ...  44  60 100]]",Normal
65,"[[ 59  72  81 ... 122 122 126]
 [ 62  72  77 ... 120 124 131]
 [ 58  67  77 ... 116 115 142]
 ...
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]]",Normal
66,"[[61 70 78 ... 82 83 81]
 [58 65 71 ... 81 81 82]
 [54 60 69 ... 83 81 82]
 ...
 [ 0  0  0 ...  0  0  0]
 [ 0  0  0 ...  0  0  0]
 [ 0  0  0 ...  0  0  0]]",Normal
67,"[[ 27  31  40 ...  78 110  88]
 [ 28  31  36 ...  51 110  95]
 [ 27  31  36 ...  40 102 113]
 ...
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]]",Normal
68,"[[ 0  0  0 ... 38 43  0]
 [ 0  0  0 ... 39 40  0]
 [ 0  0  0 ... 38 34  1]
 ...
 [ 0  0  0 ...  0  0  0]
 [ 0  0  0 ...  0  0  0]
 [ 0  0  0 ...  0  0  0]]",Normal
69,"[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]",Normal
70,"[[19 30 43 ...  0  0  0]
 [19 31 47 ...  0  0  0]
 [19 27 45 ...  0  0  0]
 ...
 [ 0  0  0 ...  0  0  0]
 [ 0  0  0 ...  0  0  0]
 [ 0  0  0 ...  0  0  0]]",Normal
71,"[[  0   0   0 ... 106 113 116]
 [  0   0   0 ... 111 113 127]
 [  0   0   0 ... 116 125 131]
 ...
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]]",Normal
72,"[[ 0  0  0 ... 24 12  0]
 [ 0  0  0 ... 21  7  0]
 [ 0  0  0 ... 22  1  0]
 ...
 [ 0  0  0 ...  0  0  0]
 [ 0  0  0 ...  0  0  0]
 [ 0  0  0 ...  0  0  0]]",Normal
73,"[[7 6 7 ... 6 6 7]
 [6 5 5 ... 6 6 5]
 [5 5 7 ... 6 7 7]
 ...
 [6 6 6 ... 9 8 9]
 [7 5 6 ... 9 6 8]
 [4 7 5 ... 8 7 8]]",Normal
74,"[[38 34 36 ... 67 56 55]
 [41 43 43 ... 61 56 54]
 [43 46 44 ... 55 56 55]
 ...
 [ 0  0  0 ...  0  0  0]
 [ 0  0  0 ...  0  0  0]
 [ 0  0  0 ...  0  0  0]]",Normal
75,"[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]",Normal
76,"[[0 0 0 ... 1 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]",Normal
77,"[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]",Normal
78,"[[ 61  64 139 ...  12   5   0]
 [ 61  58 113 ...  10   2   0]
 [ 64  63  88 ...   3   0   0]
 ...
 [  0   0   0 ... 145  91  66]
 [  0   0   0 ... 148  86  70]
 [  0   0   0 ... 137  87  64]]",Normal
79,"[[43 48 53 ... 51 39 29]
 [36 43 52 ... 48 33 20]
 [38 51 55 ... 41 29 23]
 ...
 [ 0  0  0 ...  0  0  0]
 [ 0  0  0 ...  0  0  0]
 [ 0  0  0 ...  0  0  0]]",Normal
80,"[[ 41  66  77 ...  91  84 124]
 [ 41  65  78 ...  88  85 124]
 [ 44  68  84 ...  96  84 122]
 ...
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]]",Normal
81,"[[ 55  84 106 ...   0   3  42]
 [ 44  71 111 ...   0   0  52]
 [ 42  82 104 ...   0   0  35]
 ...
 [  0   0   0 ...  48  34  16]
 [  0   0   0 ...  51  36  22]
 [  0   0   0 ...  61  38  24]]",Normal
82,"[[  0   0  85 ...  74 100  72]
 [  1   2 119 ...  89  79  31]
 [110 101  94 ...  93  29  35]
 ...
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]
 [  2   0   0 ...   0   0   0]]",Normal
83,"[[ 56  77  91 ...  77 100 165]
 [ 59  80  95 ...  76  99 157]
 [ 56  77  86 ...  74  94 150]
 ...
 [ 40  10  11 ...  94  97 101]
 [ 60  39  38 ... 140 144 143]
 [100  86  87 ... 247 250 254]]",Normal
84,"[[ 1  0  0 ... 15 16 19]
 [ 0  0  0 ... 17 18 19]
 [ 0  0  0 ... 16 15 18]
 ...
 [ 8  5  7 ...  0  0  0]
 [ 6  5  9 ...  0  0  0]
 [ 8  5  7 ...  0  0  0]]",Normal
85,"[[61 70 74 ... 62 54 43]
 [63 70 72 ... 55 46 40]
 [64 68 71 ... 53 44 36]
 ...
 [15 17 15 ...  0  0  1]
 [18 16 18 ...  0  0  1]
 [18 17 15 ...  0  0  1]]",Normal
86,"[[87 23 23 ...  0  0  0]
 [37 30 24 ...  0  0  0]
 [39 36 32 ...  0  0  0]
 ...
 [ 0  0  0 ...  0  0  0]
 [ 0  0  0 ...  0  0  0]
 [ 0  0  0 ...  0  0  0]]",Normal
87,"[[255 255 255 ... 255 255 255]
 [255 255 255 ... 248 248 236]
 [255 255 255 ... 188 175 153]
 ...
 [ 16  19  22 ...  85  90  89]
 [ 48  48  50 ... 142 144 142]
 [ 92 100  98 ... 216 212 216]]",Normal
88,"[[ 89 101 109 ...  98  90  74]
 [ 89 101 110 ...  94  86  71]
 [ 85  98 109 ...  91  86  74]
 ...
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]
 [  1   0   0 ...   0   0   0]]",Normal
89,"[[ 77  78  88 ... 131 125 124]
 [ 70  78  79 ... 124 126 134]
 [ 65  75  85 ... 129 131 131]
 ...
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]]",Normal
90,"[[0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]",Normal
91,"[[26 47 61 ... 53 36 22]
 [16 40 58 ... 48 32 18]
 [12 38 52 ... 43 31 15]
 ...
 [ 0  0  0 ...  0  0  0]
 [ 0  0  0 ...  0  0  0]
 [ 0  0  0 ...  0  0  0]]",Normal
92,"[[54 57 57 ... 72 67 63]
 [53 59 53 ... 68 63 60]
 [47 52 51 ... 69 60 58]
 ...
 [ 0  0  0 ...  0  0  0]
 [ 0  0  0 ...  0  0  0]
 [ 0  0  0 ...  0  0  0]]",Normal
93,"[[0 0 0 ... 3 2 3]
 [0 0 0 ... 1 2 3]
 [0 0 0 ... 1 1 1]
 ...
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]
 [0 0 0 ... 0 0 0]]",Normal
94,"[[ 9 12 20 ... 58 53 47]
 [11 10 19 ... 59 56 46]
 [ 5 11 21 ... 57 57 46]
 ...
 [ 0  0  0 ...  0  0  0]
 [ 0  0  0 ...  0  0  0]
 [ 0  0  0 ...  0  0  0]]",Normal
95,"[[73 74 83 ... 67 60 67]
 [71 75 81 ... 76 60 66]
 [68 73 76 ... 72 64 71]
 ...
 [ 0  0  0 ...  0  0  0]
 [ 0  0  0 ...  0  0  0]
 [ 0  0  0 ...  0  0  0]]",Normal
96,"[[ 0  9 17 ... 59 45 36]
 [ 0  6 15 ... 57 44 32]
 [ 0  6 18 ... 52 41 29]
 ...
 [ 0  0  0 ...  0  0  0]
 [ 0  0  0 ...  0  0  0]
 [ 0  0  0 ...  0  0  0]]",Normal
97,"[[106 114 110 ...  99 105  92]
 [122 105 109 ... 109 105  93]
 [119 112 113 ... 119 104  94]
 ...
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]]",Normal
98,"[[17 34 47 ... 77 82 76]
 [13 30 46 ... 79 80 78]
 [ 8 24 41 ... 78 80 74]
 ...
 [ 0  0  0 ...  0  0  0]
 [ 0  0  0 ...  0  0  0]
 [ 0  0  0 ...  0  0  0]]",Normal
99,"[[ 89  86  83 ...  94 102 106]
 [100  97  94 ... 103 108 115]
 [108 107  97 ... 112 108 114]
 ...
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   0]]",Normal
100,"[[ 48  37  34 ... 178 237 255]
 [ 45  49  53 ... 173 241 255]
 [ 58  59  56 ... 175 242 255]
 ...
 [ 91 136  88 ... 137 159 214]
 [ 90 141  93 ... 122 154 232]
 [ 76 145  95 ... 122 156 250]]",Normal
101,"[[ 92  99  96 ... 134 151 152]
 [ 96  94  96 ... 144 158  94]
 [ 94  94  94 ... 165  91  98]
 ...
 [  1   1   0 ...   0   0   0]
 [  0   1   0 ...   0   0   0]
 [  0   1   0 ...   0   0   0]]",Normal
102,"[[40 46 48 ... 36 29 22]
 [38 38 43 ... 37 32 25]
 [31 42 46 ... 33 24 16]
 ...
 [ 0  0  0 ...  0  0  0]
 [ 0  0  0 ...  0  0  0]
 [ 0  0  0 ...  0  0  0]]",Normal
103,"[[ 20  36  41 ...  60  83 135]
 [ 19  34  44 ...  59  79 130]
 [ 18  32  40 ...  56  74 125]
 ...
 [  8   0   0 ...   0   0   4]
 [  9   0   0 ...   0   0   3]
 [  9   0   0 ...   0   0   5]]",Normal
104,"[[ 13  25  41 ... 158 148 227]
 [  7  17  35 ... 102 147 218]
 [  3  15  28 ... 102 150 221]
 ...
 [  0   0   0 ...   0   0   0]
 [  0   0   0 ...   0   0   1]
 [  0   0   0 ...   0   0   1]]",Normal
105,"[[ 0  0  0 ... 47 43 32]
 [ 0  0  0 ... 47 42 20]
 [ 0  0  0 ... 49 39 18]
 ...
 [ 0  0  0 ...  0  0  0]
 [ 0  0  0 ...  0  0  0]
 [ 0  0  0 ...  0  0  0]]",Normal
106,"[[ 0  0  0 ... 40 29 13]
 [ 0  0  0 ... 33 25 10]
 [ 0  0  0 ... 36 24 12]
 ...
 [ 0  0  0 ...  0  0  0]
 [ 0  0  0 ...  0  0  0]
 [ 0  0  0 ...  0  0  0]]",Normal
107,"[[ 9 15 22 ... 79 72 87]
 [22 22 30 ... 80 69 79]
 [26 32 38 ... 75 67 76]
 ...
 [ 0  0  0 ...  0  0  0]
 [ 0  0  0 ...  0  0  0]
 [ 0  0  0 ...  0  0  0]]",Normal
108,"[[ 0  0  0 ... 75 72 59]
 [ 0  0  0 ... 79 66 56]
 [ 0  0  0 ... 77 64 61]
 ...
 [ 0  0  0 ...  2  2  2]
 [ 0  0  0 ...  1  1  3]
 [ 0  0  0 ...  2  3  2]]",Normal
109,"[[25 51 64 ... 80 70 66]
 [27 51 64 ... 79 70 64]
 [27 53 72 ... 80 75 66]
 ...
 [ 0  0  0 ...  0  0  0]
 [ 0  0  0 ...  0  0  0]
 [ 0  0  0 ...  0  0  0]]",Normal
